Circuit,Original,GeoAware
1,11000,21000
2,7300,28000
3,51000,42000
4,13000,38000
5,27000,60000
6,47000,25000
7,5900,24000
8,38000,51000
9,14000,12000
10,9900,4600
11,20000,15000
12,57000,38000
13,5400,18000
14,21000,12000
15,37000,10000
16,9500,49000
17,19000,13000
18,11000,29000
19,17000,9600
20,13000,25000
21,36000,3100
22,6800,25000
23,3800,22000
24,35000,1200
25,28000,13000
26,40000,56000
27,34000,18000
28,1500,18000
29,14000,5900
30,18000,62000
31,24000,39000
32,19000,7200
33,30000,25000
34,32000,24000
35,14000,30000
36,28000,21000
37,22000,30000
38,13000,48000
39,16000,23000
40,130000,6700
41,440,41000
42,18000,23000
43,6500,20000
44,15000,25000
45,13000,54000
46,62000,18000
47,19000,28000
48,7800,4900
49,16000,2900
50,31000,36000
51,21000,13000
52,12000,9500
53,11000,42000
54,2600,21000
55,29000,3600
56,24000,15000
57,6000,35000
58,22000,40000
59,26000,24000
60,34000,32000
61,9100,10000
62,5500,16000
63,6300,17000
64,33000,1500
65,28000,18000
66,37000,18000
67,34000,14000
68,15000,18000
69,44000,43000
70,19000,5600
71,19000,26000
72,17000,41000
73,34000,39000
74,85000,11000
75,25000,19000
76,5400,24000
77,28000,9600
78,4200,36000
79,6700,22000
80,38000,14000
81,16000,7100
82,3100,32000
83,4300,6500
84,11000,43000
85,16000,52000
86,19000,43000
87,18000,18000
88,8400,25000
89,36000,34000
90,35000,41000
91,51000,21000
92,80000,15000
93,30000,50000
94,25000,29000
95,23000,16000
96,7300,28000
97,27000,16000
98,30000,18000
99,9800,16000
100,58000,26000
101,29000,44000
102,74000,23000
103,31000,41000
104,46000,20000
105,5400,23000
106,5300,9500
107,42000,16000
108,22000,7300
109,18000,18000
110,15000,4700
111,30000,28000
112,11000,3700
113,29000,23000
114,25000,40000
115,44000,2700
116,28000,15000
117,26000,72000
118,5000,11000
119,13000,48000
120,16000,21000
121,23000,23000
122,18000,9300
123,3400,7200
124,17000,25000
125,31000,6900
126,46000,27000
127,21000,27000
128,5900,30000
129,29000,6100
130,34000,8400
131,63000,33000
132,16000,14000
133,19000,15000
134,5400,5400
135,19000,2900
136,16000,13000
137,12000,27000
138,15000,11000
139,30000,42000
140,25000,59000
141,4500,20000
142,11000,7500
143,19000,2000
144,49000,5000
145,8400,15000
146,24000,10000
147,7900,9300
148,5600,21000
149,6100,4500
150,4700,55000
151,32000,17000
152,25000,33000
153,9700,17000
154,10000,1800
155,6900,23000
156,19000,17000
157,17000,22000
158,64000,14000
159,5200,24000
160,20000,30000
161,18000,12000
162,22000,33000
163,5600,11000
164,33000,15000
165,14000,16000
166,3300,39000
167,7300,12000
168,3600,39000
169,33000,10000
170,24000,2700
171,13000,25000
172,39000,20000
173,17000,11000
174,49000,28000
175,15000,20000
176,19000,21000
177,7700,42000
178,42000,31000
179,26000,4000
180,21000,21000
181,86000,8900
182,20000,8000
183,30000,16000
184,54000,16000
185,14000,44000
186,20000,23000
187,14000,18000
188,4700,24000
189,38000,55000
190,30000,31000
191,6900,5900
192,11000,5400
193,45000,6000
194,1700,16000
195,20000,5200
196,5400,24000
197,11000,5700
198,13000,26000
199,24000,39000
200,19000,23000
201,4000,18000
202,7400,10000
203,35000,26000
204,20000,3900
205,34000,53000
206,38000,7500
207,17000,16000
208,11000,15000
209,16000,14000
210,8700,49000
211,7600,18000
212,10000,11000
213,27000,16000
214,30000,23000
215,8300,5200
216,17000,23000
217,58000,41000
218,4100,47000
219,31000,1800
220,25000,32000
221,20000,4100
222,11000,17000
223,21000,8100
224,6300,5800
225,33000,14000
226,32000,27000
227,18000,30000
228,8000,10000
229,24000,11000
230,18000,45000
231,5400,18000
232,27000,18000
233,14000,5100
234,16000,7700
235,20000,3800
236,25000,10000
237,21000,18000
238,44000,47000
239,9800,11000
240,19000,26000
241,16000,840
242,51000,14000
243,9600,42000
244,28000,17000
245,7100,22000
246,74000,21000
247,24000,26000
248,27000,4000
249,20000,8200
250,44000,20000
251,9800,23000
252,15000,5000
253,43000,26000
254,15000,5200
255,11000,17000
256,30000,3500
257,25000,11000
258,27000,24000
259,17000,7300
260,16000,40000
261,21000,15000
262,26000,19000
263,27000,28000
264,7400,14000
265,21000,33000
266,25000,6000
267,17000,19000
268,15000,31000
269,13000,7600
270,8900,15000
271,8500,28000
272,9100,15000
273,31000,33000
274,32000,25000
275,3900,24000
276,16000,26000
277,12000,7200
278,18000,3100
279,19000,19000
280,85000,14000
281,30000,16000
282,40000,35000
283,20000,19000
284,17000,140
285,11000,7900
286,8900,27000
287,15000,1600
288,7800,12000
289,24000,19000
290,86000,10000
291,21000,26000
292,15000,7200
293,9900,51000
294,14000,16000
295,16000,17000
296,2800,12000
297,14000,15000
298,17000,9500
299,8900,30000
300,9800,11000
301,50000,16000
302,9800,37000
303,7800,13000
304,37000,3300
305,12000,14000
306,5800,31000
307,33000,23000
308,63000,22000
309,14000,42000
310,9500,3900
311,13000,4400
312,19000,32000
313,8800,17000
314,43000,17000
315,31000,13000
316,11000,28000
317,29000,33000
318,9300,3900
319,9200,29000
320,6200,21000
321,15000,71000
322,43000,6300
323,6800,5100
324,22000,20000
325,74000,16000
326,33000,30000
327,20000,13000
328,5100,20000
329,5300,11000
330,33000,26000
331,29000,31000
332,14000,3800
333,29000,9100
334,18000,20000
335,36000,5100
336,47000,10000
337,23000,11000
338,29000,33000
339,31000,33000
340,29000,3400
341,25000,19000
342,26000,27000
343,15000,34000
344,20000,38000
345,1400,27000
346,15000,11000
347,22000,18000
348,26000,10000
349,9800,4000
350,48000,15000
